序号,县名,乡镇村名,经度,纬度,有效土层厚度,耕层厚度,耕层质地,pH,有机质(g/kg）
1,城固县,老庄镇丁家湾村,107.1743469444445,33.24081416666667,65,22,重壤,6.82,32.03991964991724
2,城固县,老庄镇杨家坡村,107.1840133333333,33.22938166666667,60,20,重壤,6.52,31.64632799603424
3,城固县,老庄镇广杨村,107.1687766666667,33.2455825,70,20,重壤,6.4,34.77494684469449
4,城固县,文川镇联合村,107.1518019444444,33.17771916666666,70,22,重壤,6.42,27.12456016889514
5,城固县,文川镇文西村,107.1579741666667,33.21202083333333,70,20,重壤,6.33,26.21632041122296
6,城固县,文川镇文星村,107.1736222222222,33.19004444444444,70,20,重壤,6.56,31.67789015826433
7,城固县,龙头镇龙头村,107.2468186111111,33.18107611111111,65,20,中壤,6.02,24.20817308479125
8,城固县,龙头镇新华村,107.2759016666667,33.16659555555555,65,20,中壤,6.11,42.14097912549285
9,城固县,龙头镇堰湾村,107.2122727777778,33.16326138888888,65,20,中壤,6.28,23.38561315368806
10,城固县,柳林镇新柳村,107.2058055555556,33.12497222222223,70,20,中壤,6.45,23.47890682318415
11,城固县,柳林镇段家山村,107.1728363888889,33.14626694444444,70,20,中壤,6.33,24.08813255709807
12,城固县,沙河营镇官井村,107.2523116666667,33.1405525,65,20,中壤,6.39,26.53976284377223
13,城固县,沙河营镇郑家营村,107.2264633333333,33.15153111111111,65,20,中壤,5.6,20.53842594263922
14,城固县,博望办军王村,107.2862013888889,33.17524333333333,65,20,中壤,5.99,30.23742759703351
15,城固县,博望办杜家营,107.2949722222222,33.135,65,20,中壤,6.11,40.74414295734045
16,城固县,莲花办胥水村,107.3247605555556,33.18648138888889,65,20,中壤,6.11,27.90469541674091
17,城固县,莲花办高湾村,107.2754744444444,33.03846861111111,65,20,中壤,6.02,35.51095028392058
18,城固县,小河镇柳树店村,107.1591566666667,33.47188944444444,45,20,沙壤,6.15,46.87988830012474
19,城固县,双溪镇水磨村,107.1834183333333,33.35414888888889,45,20,沙壤,5.78,37.20626055565456
20,城固县,桔园镇竹园村,107.2461930555556,33.22922138888889,70,20,中壤,5.9,34.28665758306257
21,城固县,桔园镇后湾村,107.2510758333333,33.22061527777778,65,20,中壤,5.78,32.32653061224489
22,城固县,原公镇陈家村,107.3162766666667,33.20087055555556,45,20,沙壤,5.95,34.41250117112186
23,城固县,原公镇东庙村,107.3578111111111,33.21141444444445,45,20,沙壤,6.22,24.12801357126545
24,城固县,上元观镇王家堡村,107.2454027777778,33.09716666666667,55,20,中壤,5.84,21.90806664523697
25,城固县,上元观镇李家嘴村,107.2390361111111,33.0774,65,20,中壤,5.69,22.06888662061075
26,城固县,上元观镇口头营村,107.3831472222222,33.10620277777778,55,20,中壤,5.49,36.62013793103448
27,城固县,董家营镇 刘草坝村,107.4085277777778,33.10436944444444,55,20,中壤,5.67,23.06022796735105
28,城固县,董家营镇 小寨村,107.2578083333333,33.09626944444445,55,20,中壤,5.93,19.38585992290567
29,城固县,董家营镇 徐李湾村,107.2695277777778,33.07961111111111,60,20,中壤,5.83,23.8041062888785
30,城固县,天明镇龚家沟村,107.2684055555556,32.98728611111111,45,20,中壤,6.04,38.48851231527093
31,城固县,天明镇黄垭村,107.3054861111111,32.95251944444445,50,20,中壤,6.35,52.49567349930386
32,城固县,二里镇明珠村,107.2021111111111,33.00754166666667,45,20,中壤,6.6,37.6658308997768
33,城固县,二里镇奎星村,107.2104333333333,32.92205833333333,45,20,中壤,5.98,31.38868965517241
34,城固县,五堵镇高桥村,107.3741527777778,32.99903055555556,45,20,中壤,5.92,39.99654400399476
35,城固县,五堵镇分水村,107.42905,33.02256388888889,45,20,中壤,5.65,37.25572052315958
36,城固县,三合镇陈丁村,107.3870444444445,33.13260833333334,50,20,中壤,6.49,22.68076366933803
37,城固县,三合镇余观村,107.3618,33.12267222222222,45,20,中壤,6.2,33.40801879098294
